OptionName,Sharpe_Long,Sharpe_Short,PoP_Long,PoP_Short,VaR_Long,VaR_Short,CVaR_Long,CVaR_Short,Payout_Long,Payout_Short,Premium_Efficiency_Long,Premium_Efficiency_Short,Breakeven_Long,Breakeven_Short,Breakeven_Long_Pct,Breakeven_Short_Pct,MarketScenario,UserMarketView
اختيارخ رويين-9500-14031030,-0.007005805471042018,-7.450292199458761,51.05,1.5599999999999998,-269329.2814455008,-625533.7939123461,-339173.98672104464,-695331.9035416105,0.0007804844731652998,-0.11292334014595311,2.8304557033682425e-07,3177000,13392.069250120569,13026.261174232981,5.565735851494313,2.6821785766433903,Normal Market,bullish
اختيارخ اطلس-45000-14031002,-76.58766032243214,0.15322914995224934,0.0,51.85999999999999,-850258.7564109956,-142249.41156142773,-893211.8812426067,-187370.03302103805,-0.06272845998954095,0.00024369065551034129,8.928571428571429e-08,10500000,56391.25070767169,55688.86858141955,1.9548918959893191,0.6849911072492221,Normal Market,bullish
اختيارخ فصبا-2200-14031114,-23.299457672495087,-63.05840257500761,0.0,0.0,-921998.4157197525,-2250600.466473264,-959116.3554813451,-2291642.444202816,-0.2100052562955713,-2.6156313738082844,2.7277686852154937e-07,801000,6099.711431238523,3120.56495143996,24.433117732324018,-36.34098426275071,Normal Market,bullish
اختيارخ توان-14000-14031002,55.6689421366127,-300.4997996749675,99.99,0.0,163551.27556614377,-1288004.7738548326,143566.48567945568,-1308831.660582595,0.0228287093863226,-0.13611022718882912,1.0001000100010001e-07,9002000,24080.669497035815,23080.27666864527,-0.26643405659219077,-4.4097052447907625,Normal Market,bullish
اختيارخ خپارس-600-14031114,-93.42559432137585,-55.88339992568239,0.0,0.0,-630308.8490281685,-390030.2217094188,-637099.9368427534,-397669.82667617436,-0.6063107966292339,-11.991743711235282,1.01010101010101e-06,30000,1653.3483081604588,655.1002730447101,73.67104077315744,-31.186946108748938,Normal Market,bullish
اختيارخ خاور-1300-14031009,-159.84159035858568,-245.48323762916183,0.0,0.0,-204601.28323872687,-308120.68911514676,-207759.92427202757,-311515.0065074152,-0.38628707130473205,-29.685646434763395,2e-06,10000,1816.8952370561024,1322.295978079719,14.126585242217482,-16.94120740705283,Normal Market,bullish
اختيارخ رويين-8500-14031226,-0.7552015392969154,-4.991476844880341,36.16,0.5499999999999999,-946202.1587555355,-1972065.59001233,-1130870.4969162447,-2182803.640033781,-0.03099118836128077,-0.29193099811732237,1.8751171948246764e-07,4000000,14906.491182563854,13470.045527510169,17.50347771215397,6.180399870015507,Normal Market,bullish
اختيارخ آساس-40000-14031226,-1.7560219929019905,-2.877621465819335,19.689999999999998,7.870000000000001,-4358377.197599946,-5412459.906575974,-5039871.379083572,-6259553.309778152,-0.12486882611672902,-0.30974982372153304,8.333333333333334e-08,8018000,56035.3893944423,51744.37169119866,19.53451383259164,10.380928561795866,Normal Market,bullish
اختيارخ نارنج-13000-14031114,-23.19133536396096,-7.9660276840090525,0.0,0.25,-2678013.948248139,-1218864.6109133689,-2788723.3332560454,-1333082.4558382172,-0.5581592055119653,-0.7673631779521388,2.5e-07,1000000,17677.308955174718,14557.783845438002,24.53194050845169,2.5557157128425656,Normal Market,bullish
اختيارخ خپارس-600-14031009,-738.4547406978254,-453.2481105150348,0.0,0.0,-545974.8137836279,-337947.0950902218,-547869.6415880861,-339918.7615918152,-0.5988996375178657,-11.033010874464031,1.111111111111111e-06,30000,1514.0793642134186,635.9133329696358,59.04195002241792,-33.20238099058448,Normal Market,bullish
اختيارخ بساما-3747-14031205,-28.997733614708988,-33.56022436707529,0.0,0.0,-5745132.279789806,-6573995.969574444,-5909061.144803035,-6751261.703643657,-0.44212527012800423,-11.638109994256588,8.709617856806914e-08,506822,9026.292518843788,4189.757920673591,48.94872143306581,-30.86208051693744,Normal Market,bullish
اختيارخ فصبا-4800-14031114,-11.338202719367336,7.830755568455303,0.01,99.6,-522369.12523716723,104572.28754610385,-559296.7882940453,61121.60326612543,-0.5570414993107394,0.46605542889889123,1.4947683109118086e-06,555000,5686.894275050031,5568.352320880036,16.011715117299687,13.593478598123943,Normal Market,bullish
اختيارخ توان-19000-14031219,-2.6792438327111006,-1.1022574625858994,10.86,31.28,-2360380.253163461,-1775038.6492026965,-2682768.4899995956,-2173955.7124292757,-0.13023300942905486,-0.06447083276691971,1.2658227848101266e-07,6455000,28815.712380932546,27267.80515452186,19.3444289953719,12.933547958259917,Normal Market,bullish
اختيارخ خاور-1500-14031009,-529.3953370051408,-42.80365156166895,0.0,0.0,-654405.7683964659,-63505.91661034036,-657661.4772875657,-66537.6616235769,-0.8573447738316383,-0.9452985386594775,1.3333333333333334e-06,55000,2271.119046320128,1569.5956075679105,42.65823155277184,-1.4073110824176838,Normal Market,bullish
اختيارخ موج-8500-14031219,-0.8541157403706849,-3.520215318626725,35.97,4.92,-1393226.057559935,-2318982.3047018726,-1690819.931486738,-2623222.1053326847,-0.01839797365743597,-0.09233996964175338,7.246376811594203e-08,12401000,23888.118442185718,22389.487155162496,16.108284447291332,8.824181759320005,Normal Market,bullish
اختيارخ خپارس-800-14031009,-693.3746267830359,-105.60130312041377,0.0,0.0,-505856.4388687767,-82798.12303062873,-507704.5666088464,-84675.53112789022,-0.7560571520817111,-0.8941444661890666,1.5151515151515152e-06,85000,1473.7039145010608,893.306824885917,54.800831355153456,-6.165249486773428,Normal Market,bullish
اختيارخ فصبا-2000-14031114,-23.93503603225831,-26.10526156890913,0.0,0.0,-940355.3770980402,-1019901.7527329088,-980512.3570378248,-1060725.2840351344,-0.20341544443736478,-0.3875989032381387,2.57201646090535e-07,2232000,6122.5879487099255,4400.610088135259,24.89979495532284,-10.228272375861714,Normal Market,bullish
اختيارخ خاور-1400-14031009,-575.8929004542036,-161.93751701418066,0.0,0.0,-704522.1158189549,-206490.215859792,-707471.8004661246,-209504.36294635356,-0.7700520688757962,-16.246094834315276,1.111111111111111e-06,12000,2321.5883584605754,1425.2533748462313,45.82841447616679,-10.474034243327178,Normal Market,bullish
اختيارخ بساما-4996-14031205,-13.49322247569841,-18.098412794587244,0.0,0.0,-3017712.015997909,-3848110.7352715996,-3186690.255016719,-4029512.6817824105,-0.4082984319750303,-13.200837632599272,1.7346655564807105e-07,240200,7829.067605179857,5394.392714439772,29.192534738941546,-10.983618573601117,Normal Market,bullish
اختيارخ خپارس-550-14031009,-660.9994624134372,-514.6169731433715,0.0,0.0,-496097.58199010364,-388028.54757137387,-497999.9764262086,-389914.4187642089,-0.5433895595612689,-12.698313213161931,1.111111111111111e-06,30000,1463.6100520729713,585.4440208291885,53.74055168833731,-38.503779324665075,Normal Market,bullish
