OptionName,Score,Side,Type,MarketScenario,UserMarketView
اختيارخ ذوب-500-1403/09/28,0.18124238628673883,Long,CALL,Normal Market,bullish
اختيارخ وبملت-3000-1403/09/28,0.16929281190884318,Long,CALL,Normal Market,bullish
اختيارخ وبملت-2800-1403/09/28,0.11343903935859229,Long,CALL,Normal Market,bullish
اختيارخ وبملت-2600-1403/09/28,0.111538791455003,Long,CALL,Normal Market,bullish
اختيارخ خساپا-2200-1403/11/24,0.0887973014481992,Long,CALL,Normal Market,bullish
اختيارخ رويين-10000-14031030,0.07513767100425088,Long,CALL,Normal Market,bullish
اختيارخ خودرو-2600-1404/01/06,0.0651756149890102,Long,CALL,Normal Market,bullish
اختيارخ وبملت-2200-1403/09/28,0.0589465812743609,Long,CALL,Normal Market,bullish
اختيارخ وبملت-2400-1403/09/28,0.05299477951260945,Long,CALL,Normal Market,bullish
اختيارخ بساما-5413-14040207,0.05159413494689178,Long,CALL,Normal Market,bullish
اختيارخ فولاد-6000-1403/12/01,0.3926217551818172,Short,CALL,Normal Market,bullish
اختيارخ شستا-1550-1403/12/08,0.3310266829538573,Short,CALL,Normal Market,bullish
اختيارخ خودرو-3500-1403/12/01,0.32217468163538143,Short,CALL,Normal Market,bullish
اختيارخ ذوب-500-1403/11/24,0.3057142467220137,Short,CALL,Normal Market,bullish
اختيارخ شستا-1450-1403/12/08,0.30411594532495434,Short,CALL,Normal Market,bullish
اختيارخ فولاد-5500-1403/12/01,0.28404544138667165,Short,CALL,Normal Market,bullish
اختيارخ خگستر-4500-1403/12/01,0.26638263232742027,Short,CALL,Normal Market,bullish
اختيارخ خودرو-3250-1403/12/01,0.2451805092564727,Short,CALL,Normal Market,bullish
اختيارخ خگستر-5000-1403/12/01,0.23797125700149224,Short,CALL,Normal Market,bullish
اختيارخ شستا-1600-1404/01/20,0.2260024272250848,Short,CALL,Normal Market,bullish
اختيارف خساپا-2400-1403/10/26,-0.0,Long,PUT,Normal Market,bullish
اختيارف رويين-12000-14031030,-0.0,Long,PUT,Normal Market,bullish
اختيارف اهرم-22000-1403/11/24,-0.0,Long,PUT,Normal Market,bullish
اختيارف اهرم-14000-1403/10/26,-0.0,Long,PUT,Normal Market,bullish
اختيارف اهرم-18000-1403/11/24,-0.0,Long,PUT,Normal Market,bullish
اختيارف اهرم-26000-1403/10/26,-0.0,Long,PUT,Normal Market,bullish
اختيارف اهرم-24000-1403/11/24,-0.0,Long,PUT,Normal Market,bullish
اختيارف خودرو-3500-1403/11/03,-0.0,Long,PUT,Normal Market,bullish
اختيارف خودرو-3000-1403/11/03,-0.0,Long,PUT,Normal Market,bullish
اختيارف خودرو-2800-1403/11/03,-0.0,Long,PUT,Normal Market,bullish
اختيارف اهرم-30000-1403/09/28,-0.0,Short,PUT,Normal Market,bullish
