OptionName,DRX,DRY
اختيارخ اهرم-24000-1403/09/28,2411091.338516594,-104651.24603912028
اختيارخ اهرم-16000-1403/10/26,-978370.616344084,258935.12170749163
اختيارخ اهرم-16000-1403/12/22,-5919971.942105393,678423.4630970502
اختيارخ اهرم-22000-1404/01/27,-6357020.221632923,-119472.47364500674
اختيارخ ارزش-16000-1403/09/25,2219849.701281228,-40390.8816835016
اختيارخ خبهمن-1500-1403/11/28,3363240.9608126543,-55617.049262937915
اختيارخ خبهمن-1900-1403/11/28,3645698.0144964997,-102564.25791770469
اختيارخ اهرم-14000-1403/09/28,-816801.8489574306,-8581.534139931013
اختيارخ اهرم-10000-1403/10/26,-1431755.2377623115,266715.2850312783
اختيارخ اهرم-22000-1403/10/26,-1652835.1140296767,-14228.507284550564
اختيارخ اهرم-11000-1404/01/27,-692191444.2411288,-214106.74328137643
اختيارخ ارزش-22000-1403/09/25,-5649914.450493013,-118277.39778099778
اختيارخ اهرم-14000-1403/10/26,-5810442.5926424125,264254.6652486855
اختيارخ اهرم-18000-1403/10/26,-1104290.8740688637,265244.581824555
اختيارخ اهرم-18000-1403/12/22,-5331727.841802905,632635.7438737145
اختيارخ اهرم-12000-1404/01/27,-16154935.428469501,932464.2510865572
اختيارخ ارزش-14000-1403/09/25,4079097.3417281285,-37734.954614876
اختيارخ بيدار-10000-1403/10/19,-5786702.543455479,50974.704688462516
اختيارخ اهرم-11000-1403/11/24,-2849955.8928805077,489159.21972844773
اختيارخ اهرم-24000-1404/01/27,-2114385.5958109023,-112300.88328377782
اختيارخ اهرم-26000-1404/01/27,-5648500.239179042,-118274.81984304186
اختيارخ خبهمن-1700-1403/09/25,4161337.1709460663,-96264.2154965927
اختيارخ وبملت-2400-1403/09/28,4123078.1313993777,-89427.19674584223
اختيارخ وبملت-2600-1403/09/28,4056972.376729317,-89383.34935782895
اختيارخ وبملت-2400-1403/11/24,2378591.6593796825,-35546.971131627535
اختيارخ اهرم-22000-1403/09/28,1682375.2287100763,-5583.990263946776
اختيارخ اهرم-13000-1403/10/26,-2963984.1833788417,266992.0669254802
اختيارخ اهرم-20000-1403/10/26,-1244181.1750225592,264710.3342538888
اختيارخ اهرم-26000-1403/10/26,1718127.6828831593,-105822.55523086009
اختيارخ اهرم-22000-1403/11/24,-3175044.2522195233,-114093.7816695045
اختيارخ اهرم-24000-1403/11/24,-4234288.697169819,-115884.29114972366
اختيارخ اهرم-13000-1403/12/22,-5956794.949811096,728864.0867511809
اختيارخ اهرم-20000-1403/12/22,-5302414.53254146,143191.36268818149
اختيارخ اهرم-26000-1403/12/22,-2019633.4225175492,-112140.71981757773
اختيارخ ارزش-20000-1403/09/25,-6104504.265546591,-54284.98896889872
اختيارخ اهرم-13000-1403/09/28,1658549.4114358039,-6483.279742553699
اختيارخ اهرم-15000-1403/09/28,1944197.3870040886,-3812.600212878373
اختيارخ اهرم-16000-1403/09/28,2018165.648523999,-4653.459178700767
اختيارخ اهرم-15000-1403/11/24,-15611997.203422923,481848.7855273142
اختيارخ خبهمن-1400-1403/09/25,4118686.0652841926,-96347.53093742015
اختيارخ خبهمن-1700-1403/11/28,3047486.5322153205,-103575.45375593979
اختيارخ بيدار-11000-1403/10/19,1561138.564756948,59710.71820065772
اختيارخ وبملت-2200-1403/09/28,4118382.9983489765,-89284.0223905509
اختيارخ وبملت-2200-1403/11/24,3365147.235231235,-26569.32146391322
اختيارخ وبملت-3250-1403/11/24,3770148.630197703,-102353.89115891366
اختيارخ وبصادر-1900-1403/09/21,4209237.051858327,-99187.21709872078
اختيارخ خودرو-2400-1403/11/03,3510854.668270363,-36570.86019329495
اختيارخ خودرو-2600-1403/11/03,3429000.7986727357,-38574.744242532724
اختيارخ بيدار-7500-1403/10/19,2278904.461782707,63909.66982061617
اختيارخ بيدار-9000-1403/10/19,2132903.94222241,57045.914558781165
اختيارخ وبصادر-2400-1403/11/17,3826717.0918749524,-102258.27130131527
اختيارخ وتجارت-2000-1403/10/19,4136429.419608359,-101734.7512523665
اختيارخ وتجارت-2000-1403/12/15,3655597.4952571485,-102547.52441024804
اختيارخ وبملت-1500-1403/09/28,3935845.367715086,-89838.50657485971
اختيارخ وبصادر-2600-1403/11/17,3966724.0345117766,-102021.61136515874
اختيارخ وتجارت-1500-1403/10/19,3910751.4961742815,-78322.46267886498
اختيارخ وتجارت-2200-1403/10/19,4185926.8236663495,-101651.23965197496
اختيارخ وتجارت-1000-1403/12/15,3326465.079705566,-41860.710353894516
اختيارخ خگستر-5000-1403/10/05,4178855.766110873,-101663.33201741955
اختيارخ خودرو-2000-1403/10/05,3884343.246259939,-76955.28523092569
اختيارخ خودرو-2800-1403/10/05,3953588.294465306,-76912.51508407436
اختيارخ خودرو-2200-1403/11/03,3512382.7489145584,-37654.99389322617
اختيارخ خودرو-1900-1403/12/01,2920890.4393745754,-4500.307869134485
اختيارخ خبهمن-1400-1403/11/28,3645917.2490977827,-51923.47387550113
اختيارخ بيدار-6000-1403/10/19,2415144.017728856,60844.792533742206
اختيارخ بيدار-7000-1403/10/19,2413934.934021717,62708.25444940731
اختيارخ وبملت-1300-1403/09/28,3910458.348398696,-89646.81423439634
اختيارخ وبملت-2000-1403/09/28,4099346.0703297188,-89619.47791652182
اختيارخ وبملت-2800-1403/09/28,4019686.1786560607,-90040.59552536395
اختيارخ وبملت-2000-1403/11/24,3390216.7597060567,-27155.97306629989
اختيارخ وبملت-2600-1403/11/24,3301242.741411331,-87244.19574302659
اختيارخ وبملت-2800-1403/11/24,3471749.99487802,-102858.29097281733
اختيارخ وبصادر-1800-1403/09/21,4195118.666876113,-99218.15456009441
اختيارخ خودرو-1800-1403/12/01,3198756.8368839445,-3986.366639380969
اختيارخ خودرو-2000-1403/12/01,2978478.7475205,-3861.136766803218
اختيارخ خودرو-2800-1404/01/06,2867456.706379939,-19793.806556555282
اختيارخ جهش-5000-1403/10/12,2841273.137180821,3861.7752955063916
اختيارخ جهش-11000-1403/10/12,2524228.261804845,-104459.96442047053
اختيارخ خودران-8000-03/09/21,4085007.017673388,-90239.3282602765
اختيارخ خودران-10000-03/11/28,2128249.0300549446,-105129.29301195893
اختيارخ خودرو-1900-1403/10/05,3828346.341947375,-77034.73667305251
اختيارخ خودرو-3750-1403/10/05,4033191.9771238687,-101909.33906418092
اختيارخ خودرو-2800-1403/11/03,3522144.452914225,-37521.27287821304
اختيارخ خودرو-2000-1404/01/06,2582925.5032625217,33196.00864391311
اختيارخ خودرو-2600-1404/01/06,2673558.172101809,15686.784174737812
اختيارخ خبهمن-1500-1403/09/25,4189758.259959191,-96175.5566550578
اختيارخ خبهمن-1600-1403/09/25,4119163.8996891486,-96348.32050116983
اختيارخ وبملت-1900-1403/09/28,4154318.879477344,-89314.7573870838
اختيارخ وبملت-1900-1403/11/24,3362436.2458397984,-26814.714867493603
اختيارخ وبملت-3000-1403/11/24,3712165.957003367,-102451.90109368604
اختيارخ وبصادر-2200-1403/11/17,3712165.956996631,-102451.90235487571
اختيارخ وتجارت-1600-1403/10/19,3905567.2692691805,-78250.81686386559
اختيارخ وتجارت-1900-1403/10/19,4065718.8425173666,-101854.27268080118
اختيارخ وتجارت-1900-1403/12/15,3797018.649490074,-102308.46947262855
اختيارخ فولاد-4000-1403/09/21,4204589.488024116,-95985.50669744369
اختيارخ فولاد-3500-1403/12/01,2413495.887413022,41229.277306141215
اختيارخ فولاد-5000-1403/12/01,3118197.109401347,-103455.92246425142
اختيارخ خودرو-2200-1403/10/05,3812991.8575734855,-77050.13264409703
اختيارخ خودرو-3000-1403/10/05,3918940.674596014,-76469.95069245873
اختيارخ خودرو-1500-1404/01/06,527347.2706642225,28145.481188643826
اختيارخ خودرو-3250-1404/01/06,2835354.8009691504,-103934.02909059789
اختيارخ جهش-6000-1403/10/12,2647652.2486414877,4597.777844934943
اختيارخ خودران-7000-03/09/21,4071335.7485848847,-90313.42510102823
اختيارخ خگستر-4500-1403/10/05,3896013.457512227,-102141.13608888884
اختيارخ خودرو-3250-1403/11/03,3378561.6006741514,-97592.71058883469
اختيارخ خودرو-3500-1403/11/03,3521247.398855688,-102774.62419050952
اختيارخ خودرو-3750-1403/12/01,3261032.4750852543,-103214.48208209978
