OptionName,OptionType,Strike,DaysToExpiration,Spot,HestonPrice,MarketScenario,UserMarketView
اختيارخ رويين-9500-14031030,CALL,9500,32,12686,3499.1457003987216,Normal Market,bullish
اختيارخ اطلس-45000-14031002,CALL,45000,4,55310,11376.880805338362,Normal Market,bullish
اختيارخ فصبا-2200-14031114,CALL,2200,46,4902,3342.391001847664,Normal Market,bullish
اختيارخ توان-14000-14031002,CALL,14000,4,24145,9582.901942121493,Normal Market,bullish
اختيارخ خپارس-600-14031114,CALL,600,46,952,372.80530546983505,Normal Market,bullish
اختيارخ خاور-1300-14031009,CALL,1300,11,1592,304.0252508681831,Normal Market,bullish
اختيارخ رويين-8500-14031226,CALL,8500,88,12686,4794.0341061400495,Normal Market,bullish
اختيارخ آساس-40000-14031226,CALL,40000,88,46878,9141.179890443462,Normal Market,bullish
اختيارخ نارنج-13000-14031114,CALL,13000,46,14195,1693.1893786517066,Normal Market,bullish
اختيارخ خپارس-600-14031009,CALL,600,11,952,348.60826177509773,Normal Market,bullish
اختيارخ بساما-3747-14031205,CALL,3747,67,6060,2831.6065198560236,Normal Market,bullish
اختيارخ فصبا-4800-14031114,CALL,4800,46,4902,284.9891625472983,Normal Market,bullish
اختيارخ توان-19000-14031219,CALL,19000,81,24145,6397.778613589537,Normal Market,bullish
اختيارخ خاور-1500-14031009,CALL,1500,11,1592,106.50454622211146,Normal Market,bullish
اختيارخ موج-8500-14031219,CALL,8500,81,20574,12629.711964239474,Normal Market,bullish
اختيارخ خپارس-800-14031009,CALL,800,11,952,157.9672679767582,Normal Market,bullish
اختيارخ فصبا-2000-14031114,CALL,2000,46,4902,3092.9291190725494,Normal Market,bullish
اختيارخ خاور-1400-14031009,CALL,1400,11,1592,207.5959789741421,Normal Market,bullish
اختيارخ بساما-4996-14031205,CALL,4996,67,6060,1338.1073275819426,Normal Market,bullish
اختيارخ خپارس-550-14031009,CALL,550,11,952,375.48687372115666,Normal Market,bullish
اختيارخ كاريس-22000-14031212,CALL,22000,74,29663,8992.537429542135,Normal Market,bullish
اختيارخ خاور-1900-14031009,CALL,1900,11,1592,-6.069355661992702,Normal Market,bullish
اختيارخ كاريس-24000-14031212,CALL,24000,74,29663,7083.232209075319,Normal Market,bullish
اختيارخ بساما-4996-14040207,CALL,4996,130,6060,1490.1715772030266,Normal Market,bullish
اختيارخ خاور-1700-14031009,CALL,1700,11,1592,0.12220915597907611,Normal Market,bullish
اختيارخ موج-14000-14031219,CALL,14000,81,20574,7677.608322509659,Normal Market,bullish
اختيارخ خاور-1800-14031009,CALL,1800,11,1592,-15.688129238234751,Normal Market,bullish
اختيارخ موج-20000-14031219,CALL,20000,81,20574,1896.5206546316185,Normal Market,bullish
اختيارخ فصبا-4000-14031114,CALL,4000,46,4902,1082.520246908563,Normal Market,bullish
اختيارخ رويين-11000-14031030,CALL,11000,32,12686,2488.22964725523,Normal Market,bullish
اختيارخ رويين-11000-14031226,CALL,11000,88,12686,2510.608034920131,Normal Market,bullish
اختيارخ اطلس-50000-14031002,CALL,50000,4,55310,5695.849699663573,Normal Market,bullish
اختيارخ نارنج-9000-14031114,CALL,9000,46,14195,5586.575488208942,Normal Market,bullish
اختيارخ فزر-38000-14031212,CALL,38000,74,37650,1951.325938364149,Normal Market,bullish
اختيارخ موج-12000-14031219,CALL,12000,81,20574,9413.826940101482,Normal Market,bullish
اختيارخ بساما-5829-14031205,CALL,5829,67,6060,551.8139398190151,Normal Market,bullish
اختيارخ اطلس-60000-14031002,CALL,60000,4,55310,290.2588471386739,Normal Market,bullish
اختيارخ فصبا-3800-14031114,CALL,3800,46,4902,1225.8548685069259,Normal Market,bullish
اختيارخ بساما-7078-14031205,CALL,7078,67,6060,-1.3914118689854948,Normal Market,bullish
اختيارخ خپارس-700-14031114,CALL,700,46,952,285.5810573601631,Normal Market,bullish
اختيارخ توان-11000-14031002,CALL,11000,4,24145,14948.277485196184,Normal Market,bullish
اختيارخ رويين-9000-14031030,CALL,9000,32,12686,4009.5445816627544,Normal Market,bullish
اختيارخ تيام-12000-14031226,CALL,12000,88,12903,1762.6026878999655,Normal Market,bullish
